"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","BEL","Belgium","2011","2011",167.7,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","BEL","Belgium","2012","2012",161.6,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","BEL","Belgium","2013","2013",162.3,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","BEL","Belgium","2014","2014",161.7,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","BEL","Belgium","2015","2015",166.6,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","BEL","Belgium","2016","2016",165.2,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","BEL","Belgium","2017","2017",166.9,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","BEL","Belgium","2018","2018",163.4,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","BEL","Belgium","2019","2019",177,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","BEL","Belgium","2020","2020",179.7,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CAN","Canada","1961","1961",106.5,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CAN","Canada","1962","1962",107.4,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CAN","Canada","1963","1963",109.7,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CAN","Canada","1964","1964",108.9,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CAN","Canada","1965","1965",109.9,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CAN","Canada","1966","1966",112.2,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CAN","Canada","1967","1967",116.8,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CAN","Canada","1968","1968",115.5,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CAN","Canada","1969","1969",115.8,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CAN","Canada","1970","1970",115.1,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CAN","Canada","1971","1971",114.7,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CAN","Canada","1972","1972",116.1,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CAN","Canada","1973","1973",115.6,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CAN","Canada","1974","1974",118.2,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CAN","Canada","1975","1975",113.3,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CAN","Canada","1976","1976",119.9,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CAN","Canada","1977","1977",118.2,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CAN","Canada","1978","1978",117.6,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CAN","Canada","1979","1979",117.9,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CAN","Canada","1980","1980",122.5,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CAN","Canada","1981","1981",120.8,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CAN","Canada","1982","1982",120.2,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CAN","Canada","1983","1983",123.1,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CAN","Canada","1984","1984",124.4,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CAN","Canada","1985","1985",128.7,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CAN","Canada","1986","1986",131.5,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CAN","Canada","1987","1987",130.3,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CAN","Canada","1988","1988",127.7,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CAN","Canada","1989","1989",130.3,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CAN","Canada","1990","1990",127.2,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CAN","Canada","1991","1991",130.4,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CAN","Canada","1992","1992",132.4,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CAN","Canada","1993","1993",131.3,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CAN","Canada","1994","1994",133,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CAN","Canada","1995","1995",135.5,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CAN","Canada","1996","1996",136.4,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CAN","Canada","1997","1997",142.3,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CAN","Canada","1998","1998",148.3,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CAN","Canada","1999","1999",146.9,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CAN","Canada","2000","2000",147.5,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CAN","Canada","2001","2001",145.5,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CAN","Canada","2002","2002",142.3,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CAN","Canada","2003","2003",148.1,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CAN","Canada","2004","2004",147.4,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CAN","Canada","2005","2005",144.3,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CAN","Canada","2006","2006",143.2,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CAN","Canada","2007","2007",144.9,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CAN","Canada","2008","2008",145.8,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CAN","Canada","2009","2009",145.3,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CAN","Canada","2010","2010",144.8,"B","Break"
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CAN","Canada","2011","2011",150.2,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CAN","Canada","2012","2012",141.7,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CAN","Canada","2013","2013",142.7,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CAN","Canada","2014","2014",157.1,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CAN","Canada","2015","2015",158.5,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CAN","Canada","2016","2016",157.5,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CAN","Canada","2017","2017",157.5,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CAN","Canada","2018","2018",159.2,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CAN","Canada","2019","2019",158.3,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CAN","Canada","2020","2020",161.7,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CZE","Czech Republic","1993","1993",115.2,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CZE","Czech Republic","1994","1994",102.2,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CZE","Czech Republic","1995","1995",107.1,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CZE","Czech Republic","1996","1996",111.2,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CZE","Czech Republic","1997","1997",110.4,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CZE","Czech Republic","1998","1998",116.2,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CZE","Czech Republic","1999","1999",114,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CZE","Czech Republic","2000","2000",111.5,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CZE","Czech Republic","2001","2001",114.1,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CZE","Czech Republic","2002","2002",115.5,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CZE","Czech Republic","2003","2003",120.4,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CZE","Czech Republic","2004","2004",116.8,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CZE","Czech Republic","2005","2005",128.1,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CZE","Czech Republic","2006","2006",137.7,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CZE","Czech Republic","2007","2007",134.3,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CZE","Czech Republic","2008","2008",137.7,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CZE","Czech Republic","2009","2009",136.2,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CZE","Czech Republic","2010","2010",137.7,"B","Break"
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CZE","Czech Republic","2011","2011",133.3,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CZE","Czech Republic","2012","2012",137,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CZE","Czech Republic","2013","2013",137.1,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CZE","Czech Republic","2014","2014",128.5,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CZE","Czech Republic","2015","2015",125,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CZE","Czech Republic","2016","2016",137.3,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CZE","Czech Republic","2017","2017",140.9,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CZE","Czech Republic","2018","2018",146,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CZE","Czech Republic","2019","2019",150.6,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","CZE","Czech Republic","2020","2020",152.3,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","DNK","Denmark","1961","1961",136.3,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","DNK","Denmark","1962","1962",128.9,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","DNK","Denmark","1963","1963",131.7,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","DNK","Denmark","1964","1964",134.9,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","DNK","Denmark","1965","1965",135.5,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","DNK","Denmark","1966","1966",135.8,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","DNK","Denmark","1967","1967",134.4,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","DNK","Denmark","1968","1968",139,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","DNK","Denmark","1969","1969",138,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","DNK","Denmark","1970","1970",140.6,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","DNK","Denmark","1971","1971",145.6,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","DNK","Denmark","1972","1972",138.1,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","DNK","Denmark","1973","1973",129.3,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","DNK","Denmark","1974","1974",129.2,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","DNK","Denmark","1975","1975",128.4,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","DNK","Denmark","1976","1976",122.8,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","DNK","Denmark","1977","1977",129.5,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","DNK","Denmark","1978","1978",128.6,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","DNK","Denmark","1979","1979",133.6,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","DNK","Denmark","1980","1980",137.7,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","DNK","Denmark","1981","1981",134.5,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","DNK","Denmark","1982","1982",129,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","DNK","Denmark","1983","1983",123.7,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","DNK","Denmark","1984","1984",122.9,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","DNK","Denmark","1985","1985",130.5,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","DNK","Denmark","1986","1986",125.5,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","DNK","Denmark","1987","1987",129.3,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","DNK","Denmark","1988","1988",135.8,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","DNK","Denmark","1989","1989",133.4,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","DNK","Denmark","1990","1990",130,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","DNK","Denmark","1991","1991",129.1,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","DNK","Denmark","1992","1992",141,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","DNK","Denmark","1993","1993",137,,
